username,mediacount,followers,followees,has_viewable_story,language,new_feature
its.luciifer,0,17,30,0,5,42
beingsalmankhan,1393,66952150,38,0,5,42
its.luciifer,0,17,30,0,5,42
beingsalmankhan,1394,66978111,38,1,5,42
shaikh_abusalman,11,2339,93,0,5,42
shaikh_abusalman,11,2339,93,0,5,42
kuruma_beast_6925,0,28,44,1,5,42
heenagohil_1584,1,249,289,0,5,42
beast__kuruma,0,8,19,0,5,42
beingsalmankhan,1396,67007762,38,1,5,42
faiz_udheja,5,48,45,0,5,42
faiz_udheja,5,48,45,0,5,42
faiz_udheja,5,48,45,0,5,42
